id_festival,envergure_territoriale_festival,code_insee_commune_festival,adresse_postale_festival,complement_adresse_festival,geocodage_xy_festival,latitude_festival,longitude_festival,id_commune,GeoPoint_festival
1619,Régionale,71235,35 Impasse de la Créssonière,,"46.3429969068, 4.79636186257",46.3429969068,4.79636186257,27666,POINT(4.79636186257 46.3429969068)
2531,,71238,Le Bourg,,"46.2165272056, 4.07699692762",46.2165272056,4.07699692762,27669,POINT(4.07699692762 46.2165272056)
4886,,71263,1 Montée Saint-Claude,stade de bram,"46.6351883548, 5.23839292789",46.6351883548,5.23839292789,27693,POINT(5.23839292789 46.6351883548)
6631,,71263,,,"46.6351883548, 5.23839292789",46.6351883548,5.23839292789,27693,POINT(5.23839292789 46.6351883548)
6976,,71263,,,"46.6351883548, 5.23839292789",46.6351883548,5.23839292789,27693,POINT(5.23839292789 46.6351883548)
867,Intercommunale,71264,,Mairie,"46.4645640534, 4.64914404204",46.4645640534,4.64914404204,27694,POINT(4.64914404204 46.4645640534)
277,Départementale,71270,,Prieuré,"46.3205511756, 4.81842529639",46.3205511756,4.81842529639,27699,POINT(4.81842529639 46.3205511756)
2087,,71270,,,"46.3205511756, 4.81842529639",46.3205511756,4.81842529639,27699,POINT(4.81842529639 46.3205511756)
3673,,71270,,,"46.3205511756, 4.81842529639",46.3205511756,4.81842529639,27699,POINT(4.81842529639 46.3205511756)
4389,,71270,4 Rue Agut,,"46.3205511756, 4.81842529639",46.3205511756,4.81842529639,27699,POINT(4.81842529639 46.3205511756)
4901,,71270,Esplanade Lamartine,,"46.3205511756, 4.81842529639",46.3205511756,4.81842529639,27699,POINT(4.81842529639 46.3205511756)
5100,,71270,,,"46.3205511756, 4.81842529639",46.3205511756,4.81842529639,27699,POINT(4.81842529639 46.3205511756)
6811,,71270,,,"46.3205511756, 4.81842529639",46.3205511756,4.81842529639,27699,POINT(4.81842529639 46.3205511756)
3508,,71275,1 Place Place Reverchon,,"46.2756272512, 4.039116013",46.2756272512,4.039116013,27704,POINT(4.039116013 46.2756272512)
6636,,71275,,,"46.2756272512, 4.039116013",46.2756272512,4.039116013,27704,POINT(4.039116013 46.2756272512)
4887,,71295,Place de la Mairie,,"46.7945134241, 5.18412548455",46.7945134241,5.18412548455,27723,POINT(5.18412548455 46.7945134241)
3823,,71296,,,"46.6508093785, 4.75084615409",46.6508093785,4.75084615409,27724,POINT(4.75084615409 46.6508093785)
636,Intercommunale,71306,1 Quai Jules Chagot,,"46.6762539128, 4.3540960404",46.6762539128,4.3540960404,27732,POINT(4.3540960404 46.6762539128)
5622,,71306,,,"46.6762539128, 4.3540960404",46.6762539128,4.3540960404,27732,POINT(4.3540960404 46.6762539128)
3189,,71308,,,"46.6203875932, 4.84178033117",46.6203875932,4.84178033117,27734,POINT(4.84178033117 46.6203875932)
6644,,71320,557 Route de Charbonnat,,"46.6461358907, 4.49195438858",46.6461358907,4.49195438858,27746,POINT(4.49195438858 46.6461358907)
6449,,71324,,,"46.7507453415, 4.67430662316",46.7507453415,4.67430662316,27750,POINT(4.67430662316 46.7507453415)
4962,,7133,,Différent lieux : Eglise Saint-Pierre Place de la concorde  Place Poullalé Cour d'honneur de l'hôtel de ville Clos Saint-Roch,"44.4543456079, 4.59606913482",44.4543456079,4.59606913482,2160,POINT(4.59606913482 44.4543456079)
2109,,71338,,,"46.5352832941, 4.84332783222",46.5352832941,4.84332783222,27764,POINT(4.84332783222 46.5352832941)
4828,,71378,1 Place du Champ de foire,,"46.8728849421, 4.75062759298",46.8728849421,4.75062759298,27803,POINT(4.75062759298 46.8728849421)
1191,Intercommunale,71394,675 Chemin du Gâ,,"46.4782854677, 4.43348327243",46.4782854677,4.43348327243,27819,POINT(4.43348327243 46.4782854677)
1024,Intercommunale,71417,1 Place de l'Hôtel de Ville,Salle de la mairie,"46.6134097037, 4.66348657274",46.6134097037,4.66348657274,27842,POINT(4.66348657274 46.6134097037)
3715,,71433,,,"46.3729257558, 4.22118387615",46.3729257558,4.22118387615,27855,POINT(4.22118387615 46.3729257558)
5335,,71445,,,"46.77487928, 4.88727108461",46.77487928,4.88727108461,27867,POINT(4.88727108461 46.77487928)
1391,Nationale,7145,300 route de Mirabel,,"44.6192177092, 4.46630461903",44.6192177092,4.46630461903,2171,POINT(4.46630461903 44.6192177092)
1026,Intercommunale,71456,11 Chemin de Gabrot,,"46.8045036563, 5.06009460958",46.8045036563,5.06009460958,27878,POINT(5.06009460958 46.8045036563)
