precision_sur_statut_edifice,statut_juridique_edifice,id_monument_historique
,propriété du département ; propriété privée,32968
,propriété de la commune,32967
,propriété de la commune,32965
,propriété de la commune,32963
,propriété privée,32969
,propriété de la commune,32970
,propriété de la commune,32971
,propriété de la commune,32972
,propriété privée,32974
,propriété de la commune,32973
,propriété de la commune,32975
,propriété de la commune,32976
,propriété privée,32977
,propriété privée,32979
,propriété de la commune,32978
,propriété d’une association,36985
personne privée : cad. A 400; 401 ; SCI du Château : cad. A 402; 542; 325; 562; 544; 560,propriété privée,36952
,propriété privée,32980
,propriété de la commune,32981
propriété de la commune : cad. A 101 ; propriété de l'ONF : cad. B 130 à 135; 185; 378,propriété privée ; propriété de la commune ; propriété de l'Etat,36938
,propriété de la commune,36934
,propriété de la commune,32982
,propriété de la commune,32983
,propriété de la commune,32984
propriété du Ministère de la Défense,propriété de l'Etat,32987
,propriété de la commune,32985
,propriété de la commune,32986
,propriété de la commune,32988
,propriété de la commune,32989
,propriété privée,32990
,propriété de la commune,32991
,propriété de la commune,32992
,propriété de la commune,32993
,propriété privée,32994
,propriété de la commune,32995
,propriété de la commune,32996
,propriété de la commune,32997
,propriété de la commune,32998
propriété d'une personne privée : cad. A 122 ; propriété d'une société civile immobilière : cad. A 123,propriété privée,36923
,propriété de la commune,32999
,propriété privée,33000
,propriété de la commune,33001
,propriété de la commune,33003
,propriété privée,33002
,propriété de la commune,33004
,propriété privée,33354
,propriété de la commune,33005
,propriété de la commune,33006
,propriété de la commune,33007
,propriété privée,36944
,propriété de la commune,33008
,propriété privée,33011
,propriété de la commune,33009
,propriété de la commune,33010
,propriété de la commune,33012
,propriété de l'Etat,36205
,propriété de l'Etat,33013
,propriété de la commune,33014
,propriété privée,33015
,propriété de la commune,33016
,propriété de la commune ; propriété privée,33019
,propriété de la commune,33018
département : château ; société privée : bâtiments de la basse-cour,propriété du département ; propriété d'une société privée,33017
,propriété privée,36980
gestionnaire du bien : MH,propriété de l'Etat,33020
,propriété privée,33024
,propriété de la commune,33021
,propriété privée,33023
,propriété de la commune,33025
,propriété de la commune,33022
,propriété d'une société privée,33026
propriété du Comité du Souvenir de la Victoire et de l'Armistice,propriété d'une association,36895
,propriété de la commune,33027
,propriété d'une société privée,33028
,propriété de la commune,33029
,propriété de la commune,33030
,propriété de la commune,33031
,propriété privée,33032
,propriété d'une société privée,36896
,propriété de la commune,33033
,propriété d'une association,33035
,propriété de la commune,33037
,propriété de la commune,33038
,propriété de la commune,33039
,propriété privée,36929
,propriété privée,36905
,propriété de la commune,33040
,propriété de la commune ; propriété d'une société privée ; propriété privée,33042
,propriété de la commune,33041
,propriété de la commune,33043
,propriété de l'Etat,33045
,propriété privée,33046
,propriété de la commune,33044
,propriété privée,36935
,propriété de la commune,33047
,propriété de la commune,33048
,propriété de la commune,33344
,propriété de la commune,33049
,propriété de la commune,33051
,propriété privée,33050
,propriété de la commune,33056
,propriété d'un établissement public,36978
,propriété de la commune,36949
,propriété de l'Etat,33119
,propriété du département,33063
,propriété de la commune,33070
,propriété de l'Etat,33054
,propriété de la commune,33118
SNCF,propriété d'un établissement public,36977
,propriété de l'Etat,33074
,propriété de la commune,33055
,propriété privée,33114
,propriété d'une association,33058
,propriété privée,33079
,propriété privée,33081
,propriété privée,33082
,propriété privée,33083
propriété de la congrégation des soeurs de la Providence de la Pommeraye : cad. AC 267 ; propriété de l'association laonnoise de formation professionnelle : cad. AB 101; 102; 184,propriété privée,36924
,propriété privée,33084
,propriété privée,33085
,propriété privée,33065
,propriété privée,33060
,propriété du département,33061
,propriété privée,33086
,propriété privée,33087
,propriété de la commune,33071
,propriété de la commune,33088
,propriété de la commune,33059
,propriété privée,33089
,propriété de la commune,33057
,propriété privée,33067
,propriété de l'Etat,33115
,propriété de la commune,33113
,propriété privée,33091
,propriété privée,33090
,propriété privée,33092
,propriété privée,33093
,,33094
,propriété du département,33077
,propriété privée,33096
,propriété privée,33097
,propriété privée,33098
,propriété privée,33099
,propriété privée,33095
,propriété privée,33068
,propriété d'une société privée,33100
,propriété privée,33064
,propriété privée,33101
,propriété de la commune,33102
,propriété privée,33109
,propriété privée,33108
,propriété de la commune,33116
,propriété privée,33078
,propriété privée,33105
,propriété privée,33106
copropriété,propriété privée,33107
,propriété privée,33104
,propriété privée,33103
,propriété privée,33111
,propriété de l'Etat,33112
,propriété privée,33117
,propriété de l'Etat,33062
,propriété d'un établissement public,33080
,propriété de la commune,33066
,propriété de la commune,33053
,propriété du département,33073
,propriété de la commune,33076
,propriété de la commune,33075
,propriété du département,33072
,propriété du département,33052
,propriété de la commune,33069
,propriété de l'Etat,33110
,propriété privée,36943
,propriété privée,33121
,propriété de la commune,33120
,propriété privée,36968
,propriété de la commune,33122
,propriété privée,33123
,propriété de la commune,33124
,propriété de la commune,33125
,propriété de la commune,33126
,propriété de la commune,33127
,propriété de l'Etat,36979
,propriété de la commune,33128
,propriété de la commune,33129
,propriété privée,33130
,propriété de la commune,33131
,propriété de la commune,33132
,propriété de la commune,33133
,propriété de la commune,33134
,propriété de la commune,36893
,propriété privée,33135
,propriété de la commune,36958
,propriété de la commune,33345
,propriété privée,33136
,propriété privée,33137
,propriété de la commune,33139
,propriété de la commune,33138
,propriété privée,33140
,propriété privée,33142
,propriété de la commune,33141
,propriété de la commune,33143
,propriété de la commune,33144
,propriété de la commune,33145
,propriété de la commune,33146
,propriété privée,36959
,propriété de la commune,33147
,propriété de l'Etat,36972
,propriété privée,36931
,propriété de la commune,33148
,propriété de la commune,33149
,propriété privée ; propriété d'une société privée,36906
société civile immobilière du domaine de Montgarny ; GFA du domaine de Montgarny : Logis dit le Moulin de la Ferme de Montgarny,propriété d'une société privée,36928
,propriété privée,36932
,propriété de la commune,33150
,propriété de la commune,33151
,propriété privée,33152
,propriété de la commune,33153
,propriété de la commune,33154
,propriété privée,33155
,propriété de la commune,36969
,propriété de la commune,33156
,propriété de la commune,36206
,propriété privée,33157
,propriété de la commune,33159
,propriété privée,33161
,propriété de la commune,33160
,propriété de la commune,33162
propriété de la société La Scierie Ardennaise : E 55,propriété privée ; propriété d'une société privée,36974
,propriété de la commune,33163
,propriété de la commune,33164
,propriété de la commune,33167
,propriété de la commune,33168
,propriété de la commune,33170
,propriété de la commune,33169
,propriété de la commune,33171
,propriété privée,33172
,propriété de la commune,36920
,propriété de la commune,33173
,propriété privée,33174
,propriété de la commune,33175
,propriété de la commune,33176
,propriété de la commune,36994
,propriété de la commune,33177
,propriété de la commune,33165
,propriété de la commune,33178
,propriété privée,33166
,propriété de la commune,33179
,propriété de la commune,33180
,propriété de la commune,33181
,propriété privée,33182
,propriété de la commune,33183
,propriété de la commune,33184
,propriété de la commune,33185
,propriété privée,36912
,propriété de la commune,33186
,propriété de la commune,33187
,propriété de la commune,33189
,propriété de la commune,33188
,propriété de la commune,33190
,propriété de la commune,33191
,propriété de la commune,33192
,propriété privée,37003
,propriété privée,33193
,propriété de la commune,33194
,propriété de la commune,33195
,propriété de la commune,33196
,propriété privée,33349
,propriété de la commune,36897
,propriété privée,36907
,propriété de la commune,33197
,propriété privée,33355
,propriété privée,33199
,propriété de la commune,33350
,propriété privée,33198
,propriété privée,36933
,propriété de la commune,33200
,propriété de la commune,33201
,propriété de la commune,33205
,propriété de la commune,33203
,propriété de la commune,33202
,propriété de l'Etat,33204
,propriété privée,33206
,propriété de la commune,33207
,propriété de la commune,33208
indivision,propriété privée,36898
,propriété de la commune,33209
,propriété de la commune,33210
,propriété privée,33211
,propriété de la commune,33212
Société civile Domaine de Pernant,propriété d'une société privée,33214
,propriété de la commune,33213
,propriété de la commune,33215
,propriété de la commune,33216
,propriété de la commune,33217
,propriété de la commune,36903
,propriété privée,33219
,propriété de la commune,33218
,propriété de la commune,33220
,propriété de la commune,33221
,propriété privée,36930
,propriété du département,33222
,propriété de la commune,33223
,propriété privée,33224
,propriété de la commune,33225
,propriété privée,36999
,propriété privée,37000
,propriété de la commune,33226
,propriété de la commune,33227
,propriété privée,36965
,propriété privée,33228
personne privée : cad. A 690; 1162; 1165; 1166 ; commune : cad. A 692; 693,propriété privée ; propriété de la commune,36960
,propriété privée,33229
,propriété de la commune,33230
,propriété privée,36899
,propriété de la commune,33231
,propriété privée,37002
,propriété de la commune,33232
,propriété privée,33234
,propriété privée,35743
,propriété de la commune,33235
,propriété de la commune,33351
,propriété de la commune,33236
,propriété privée,33237
,propriété privée,33238
,propriété de la commune,33239
,propriété de la commune,33240
,propriété de la commune,33036
,propriété de la commune,33241
,propriété de la commune,33242
,propriété de la commune,33244
,propriété de la commune,33245
,propriété privée,36900
,propriété privée,36913
,propriété de la commune,33246
,propriété de la commune,33247
,propriété d'une association,33249
,propriété de la commune,33248
,propriété d'une société privée,36706
,propriété de la commune,33250
,propriété de la commune,36925
,propriété de la commune,33251
,propriété de la commune,36926
,propriété privée,33253
,propriété privée,33252
,propriété d'une société privée,33254
,propriété de la commune,33255
,propriété de la commune,33346
,propriété privée,33256
,propriété de la commune,33257
,propriété de la commune,36707
propriété de la SNCF,propriété d'un établissement public de l'Etat,36939
,propriété d'une société privée,33356
,propriété privée,33261
,propriété de la commune,33259
,propriété de l'Etat,36915
,propriété privée,36991
,propriété de la commune,33262
,propriété de la commune,33260
,propriété privée,33258
"SCI ""la Sainte-Croix""",propriété d'une société privée,36946
,propriété privée,36975
,propriété de la commune,36992
,propriété privée,36997
,propriété du département,36996
,propriété privée,33264
,propriété de la commune,33263
propriété de la commune : A 546; 547 ; propriété d'une personne privée : A 538; 540 à 542,propriété de la commune ; propriété privée,33265
propriété de la commune de Saint-Erme-Outre-et-Ramecourt : cad. B 595; 596; 598 ; propriété du GFA du Moulin : cad. B 592 ; propriété du syndicat des Eaux de Saint-Erme-Outre-et-Ramecourt : cad. B 742,propriété privée ; propriété de la commune,36971
,propriété de la commune,33266
,propriété privée,33267
,propriété de la commune,33268
propriété de la commune : Chapelle Saint-Louis et donjon; cad. C 459; 568 à 571 ; propriété d'une personne privée : Château ; propriété de l'association des Amis de Septmonts : cad. C 572,propriété de la commune ; propriété privée,33269
,propriété privée,33272
,propriété de la commune,33271
,propriété de la commune,33270
,propriété de la commune,33273
,propriété de la commune,33274
,propriété privée,33275
,propriété de la commune,33276
,propriété privée,33277
,propriété de la commune,33278
,propriété privée,33279
,propriété de la commune,33280
,propriété de la commune,33281
,propriété privée,36207
,propriété de la commune,33282
,propriété de la commune,33287
,propriété de la commune,33286
,,33283
,propriété de la commune,33285
,propriété de la commune,33295
,propriété de l'Etat,33288
commune de Soissons : cad. Belleu AC 102; 109; 192 ; commune de Belleu : cad. Belleu AC 110; 111 ; personne privée : cad. Soissons CR 37; 59,propriété de la commune ; propriété privée,36961
,propriété de la commune,33290
,propriété de la commune,33289
,propriété de la commune,36954
,propriété privée,36986
,propriété privée,33294
,propriété de la commune,33296
,propriété de la commune,36966
,propriété de la commune,36947
,propriété du département,33284
,propriété privée,33292
,propriété privée,36998
,propriété privée,36976
,propriété de la commune,33291
,propriété de la commune,36940
,propriété privée,33293
,propriété de la commune,36917
,propriété privée,33347
,,33298
,,33297
,propriété privée,33299
,propriété de la commune,33300
GFA de Soupir : cad. B 1130 ; personne privée : cad. B 1133 à 1135,propriété d'une société privée ; propriété privée,36962
,propriété de la commune,33301
,propriété de la commune,33302
,propriété de la commune,33303
,propriété de la commune,33304
,propriété du département ; propriété d'un établissement public départemental ; propriété de la commune ; propriété privée,36908
,propriété de la commune,33305
,propriété de la commune,33306
,propriété de la commune,33307
,propriété de la commune,33308
société civile immobilière,propriété d'une société privée,33309
,propriété privée,36927
,propriété de la commune,33310
,propriété privée,36902
,propriété privée,33359
,propriété de la commune,33311
,propriété privée,36987
,propriété de la commune,33313
,propriété de la commune,33314
,propriété de la commune,36208
,propriété de la commune,33315
,propriété de la commune,36904
,propriété de la commune,33316
propriété de la commune : cad. AD 73; 79; 65; 97 à 100; 145; 305; 566 ; AC 447; 194; 198; 275 ; AB 194; 671; 672; 146 ; propriété du département : cad. AB 67 à 69 ; propriété d'EDF - GDF : cad. AC 197,propriété privée ; propriété de la commune ; propriété du département ; propriété d'un établissement public de l'Etat,36941
,propriété du département,36989
,propriété privée,36993
,propriété de la commune,33317
,propriété de l'Etat,36914
,propriété de la commune,33318
,propriété privée,33321
,propriété de la commune,33322
,propriété privée,33320
,propriété de la commune,33319
,propriété de la commune,33323
,propriété de la commune,33324
,propriété privée,36901
,propriété privée,33325
,propriété de la commune,33326
,propriété de la commune,33327
,propriété de la commune,33328
,propriété privée,36950
,propriété privée,36995
,propriété de la commune,33329
,,37007
,propriété privée,33330
SCI du château de Noüe,propriété privée,33332
"""Société Anonyme d'Habitation à Loyer Modéré ""Le logement familial de Soissons et de l'Aisne""""",propriété d'une société privée,36964
,propriété privée,35746
propriété des domaines : château ; propriété du ministère chargé de l'agriculture : parc ; propriété de la ville de Paris : cad. AB 331; 332 ; propriété de la commune de Villers-Cotterêts : cad. AB 330,propriété de l'Etat ; propriété de la commune,33331
,propriété de la commune,35744
,propriété de l'État,37004
,propriété de l'État,37006
,propriété de la commune,33333
,propriété de l'État,37005
,propriété privée,36708
,propriété de la commune,35745
société civile immobilière,propriété d'une société privée,36709
,propriété de la commune,33335
,propriété privée,33336
,propriété de la commune,33337
Fondation La Renaissance Sanitaire,propriété privée,36963
,propriété privée,33338
,propriété privée,33340
,propriété de la commune,33339
,propriété privée,33357
,propriété de la commune,33341
,propriété de la commune,33342
,propriété privée,13537
,propriété de la commune,37075
,propriété privée,13980
,propriété privée,37020
,propriété de la commune,13540
,propriété privée,13538
,propriété d'une société privée,13539
,propriété privée,37012
,propriété privée,37019
,propriété privée ; propriété de la commune,13542
,propriété de la commune,13541
,propriété privée,13544
,propriété de la commune,13543
,propriété de la commune,13545
,propriété de la commune,13546
SC Château de la Crête,propriété d'une société privée,37035
,propriété privée,13550
,propriété de la commune,13549
,propriété privée,13548
,propriété privée,13547
,propriété privée,13551
propriété de l'association diocésaine de Moulins,propriété d'une association diocésaine,37024
,propriété de la commune,13552
,propriété privée,13944
,propriété privée,13553
,propriété d'une association,13554
,propriété de la commune,13555
,propriété privée,37039
,propriété privée,13556
,propriété privée,13983
,propriété de la commune,13557
,propriété de l'Etat,13987
,propriété privée,13559
,propriété privée,13558
,propriété de la commune,13560
,propriété de la communauté de communes,37074
,propriété privée,37073
,propriété de la commune,13561
,propriété privée,13562
,propriété privée,13564
,propriété privée,13566
,propriété de la commune,13565
,propriété privée,13563
,propriété privée,13569
,propriété privée,13568
,propriété privée,13570
