auteur_edifice,personne_liee_a_edifice,id_monument_historique
,,35798
,,2740
,,2741
,,2744
,,2743
,,35800
,,2752
,,2753
,,2747
,,2754
,,2756
,,2751
PENCHAUD Michel-Robert (architecte),,2746
,,37528
,,2742
,,2748
Saint-René-Taillandier Clara (sculpteur),,37537
,,2745
,,2755
,,2750
,,2749
,,2761
,,2763
,,2767
,,2768
,,2764
,,2765
,,2766
Piron Eugène (sculpteur),,37538
,,2762
,,37499
,,37506
,,2598
,,2772
,,2770
,,2782
,,2783
,,2777
,,2785
LETZ (maître de l'oeuvre),,2786
Robert Jean (maître de l'oeuvre);Masson Antoine (maître de l'oeuvre);Beaujeu Simon de (sculpteur);Morel Jacques (sculpteur),,2775
,,37549
Boissin Jean (maître maçon);Arnaud Georges (maître maçon);Bruneau Etienne (maître maçon);Balmossiere (maître maçon);Morcrette Philibert (menuisier),,2774
,,2773
,,2769
,,37561
,,37512
,,36761
,,2778
Desfour (architecte),,37522
,,2779
,,2805
,,2771
,,2784
,,2781
FRANQUE Jean-Baptiste (architecte);DAMOUR Antoine (maître maçon),,2776
,"Daudet Alphonse, écrivain (personnage célèbre)",2780
,,2787
,,2788
,"Picasso Pablo Ruiz y Picasso, dit : Pablo Picasso (personnage célèbre)",2789
,,2790
,,2791
,,35801
,,2806
PERRE Joseph (maître de l'oeuvre),,2809
Montricher Mayor de (ingénieur),,37517
,,2792
,,2793
,,2794
,,2795
,,37570
,,30413
,,29617
,,29616
,,29618
,,29619
,,29620
,,29622
Du Buisson de Courson Nicolas (maître de l'oeuvre),,29621
,,30047
,,29623
,,29624
,,29625
,,29626
,,37597
,,30421
,,29627
,,29628
,,29629
,,29630
,,29634
,,29635
,,29636
,,37683
,,29637
Page Russel (architecte paysagiste),,29638
,,29640
Mansart François (architecte);Mignard Pierre (peintre),,29639
,,29641
,,29642
,,29643
,,29644
,,29645
,,37603
,,29646
,,29647
,,29648
,,29649
,,29650
,,29652
,,29651
,,29655
,,29656
Moussard Jacques (architecte);Flachat (maître de l'oeuvre);Crétin (maître de l'oeuvre),,29653
,,29665
,,29667
,,29668
,,29669
,,29670
,,29671
,,29674
,,29659
,,29661
,,37604
,,29658
,,29679
,,29675
,,29662
,,30408
Bühler Eugène (architecte paysagiste),,37661
,,29663
,,29660
,,29676
,,37596
,,29677
,,29678
,,29657
,,29654
,,29664
,,29666
,,29672
,,29673
,,29680
,,29682
,,29683
,,29684
,,29685
,,29686
Duchêne Achille (architecte paysagiste),,37666
,,29690
,,29688
Ledoux Claude-Nicolas (architecte);Deviliers de Maison-Rouge Joseph (architecte);Gilet Jean-François-Etienne (architecte décorateur),,29689
,,29692
,,29691
,,37599
,,29693
,,29694
,,29695
,,29696
,,29698
,,37601
,,29697
,,29701
,,29703
,,30409
,,29704
,,29702
,,29699
,,29700
,,37658
,,29707
,,29708
,,29710
,,29709
,,29711
,,37618
,,37626
,,29712
,,29713
,,29714
,,29716
,,29717
,,29715
,,37605
,,29718
,,29719
,,29720
,,29721
,,29724
,,29722
,,29723
,,29726
,,29725
,,29727
,,37633
,,30410
,,29728
,,29729
,,29730
Viraut (architecte);Mauclerc E. (architecte),,35409
Mauclerc Emile (architecte);Viraut Lucien (architecte),"Proust Marcel (habitant célèbre, écrivain)",37689
,,37668
,,29743
,,29742
,,29740
,,29746
,,29747
,,29749
,,29748
,,29739
Hébert Edmond (architecte),,37615
,,29773
Baumier Jacques (architecte),,37664
,,29774
,,29776
,,29777
,,29778
,,29779
,,29765
,,29766
,,29738
Rême Louis (architecte);Loire Gabriel (peintre-verrier);Trévedy (peintre),,37649
Bernard Henry (architecte);Edelmann Jean (peintre-verrier),,37646
,,29753
,,29759
,,29781
,,29782
,,29780
,,29797
,,29757
,,29745
