id_festival,decennie_creation_festival,annee_creation_festival,periode_principale_deroulement_festival
2789,2010 et après,,Avant-saison (1er janvier - 20 juin)
3105,Avant 1980,1948,Avant-saison (1er janvier - 20 juin)
3106,De 2000 à 2009,2003,Après-saison (6 septembre - 31 décembre)
3108,,,Après-saison (6 septembre - 31 décembre)
3270,Avant 1980,1948,Saison (21 juin - 5 septembre)
3271,2010 et après,2015,Avant-saison (1er janvier - 20 juin)
3272,2010 et après,2017,Après-saison (6 septembre - 31 décembre)
3590,De 2000 à 2009,2001,Avant-saison (1er janvier - 20 juin)
3918,De 1990 à 1999,1998,Saison (21 juin - 5 septembre)
3937,2010 et après,2013,Avant-saison (1er janvier - 20 juin)
4110,Avant 1980,1974,Saison (21 juin - 5 septembre)
4478,2010 et après,2019,Après-saison (6 septembre - 31 décembre)
5366,De 1990 à 1999,1997,Saison (21 juin - 5 septembre)
5538,De 2000 à 2009,2002,Saison (21 juin - 5 septembre)
6009,2010 et après,,Avant-saison (1er janvier - 20 juin)
6173,2010 et après,2015,Avant-saison (1er janvier - 20 juin)
6174,De 2000 à 2009,2008,Avant-saison (1er janvier - 20 juin)
6206,De 2000 à 2009,2003,Avant-saison (1er janvier - 20 juin)
6902,De 2000 à 2009,2003,Saison (21 juin - 5 septembre)
7125,De 2000 à 2009,2008,Après-saison (6 septembre - 31 décembre)
1058,de 1990 à 1999,,Saison (21 juin - 5 septembre)
1063,De 2000 à 2009,,Saison (21 juin - 5 septembre)
1707,2010 et après,2016,Avant-saison (1er janvier - 20 juin)
5925,2010 et après,2016,Avant-saison (1er janvier - 20 juin)
108,De 2000 à 2009,2003,Saison (21 juin - 5 septembre)
428,De 2000 à 2009,2007,Saison (21 juin - 5 septembre)
449,De 1990 à 1999,1996,Saison (21 juin - 5 septembre)
460,2010 et après,2017,Avant-saison (1er janvier - 20 juin)
1059,De 2000 à 2009,2004,Saison (21 juin - 5 septembre)
1245,De 2000 à 2009,,Saison (21 juin - 5 septembre)
1268,Avant 1980,1970,Saison (21 juin - 5 septembre)
1298,Avant 1980,1970,Saison (21 juin - 5 septembre)
1494,De 2000 à 2009,2002,Saison (21 juin - 5 septembre)
1566,De 2000 à 2009,2002,Saison (21 juin - 5 septembre)
1830,De 2000 à 2009,,Avant-saison (1er janvier - 20 juin)
1898,2010 et après,,Avant-saison (1er janvier - 20 juin)
1938,De 1980 à 1989,1984,Après-saison (6 septembre - 31 décembre)
2826,,,Saison (21 juin - 5 septembre)
2882,De 2000 à 2009,2009,Saison (21 juin - 5 septembre)
3748,2010 et après,2018,Après-saison (6 septembre - 31 décembre)
4667,De 2000 à 2009,2003,Saison (21 juin - 5 septembre)
4896,2010 et après,2019,Après-saison (6 septembre - 31 décembre)
4967,2010 et après,,Après-saison (6 septembre - 31 décembre)
5702,De 2000 à 2009,,Après-saison (6 septembre - 31 décembre)
5868,2010 et après,,Saison (21 juin - 5 septembre)
5929,2010 et après,2018,Avant-saison (1er janvier - 20 juin)
6011,Avant 1980,,Avant-saison (1er janvier - 20 juin)
6158,2010 et après,,Après-saison (6 septembre - 31 décembre)
6320,De 2000 à 2009,2001,Avant-saison (1er janvier - 20 juin)
7102,De 1990 à 1999,1995,Avant-saison (1er janvier - 20 juin)
7110,De 1990 à 1999,,Saison (21 juin - 5 septembre)
1259,2010 et après,2015,Saison (21 juin - 5 septembre)
1899,2010 et après,,Saison (21 juin - 5 septembre)
2900,2010 et après,2010,Après-saison (6 septembre - 31 décembre)
2995,De 2000 à 2009,2001,Avant-saison (1er janvier - 20 juin)
3015,,,Avant-saison (1er janvier - 20 juin)
7068,2010 et après,2017,
7168,De 2000 à 2009,2001,Saison (21 juin - 5 septembre)
3066,2010 et après,2013,Avant-saison (1er janvier - 20 juin)
3068,2010 et après,,Saison (21 juin - 5 septembre)
2924,,,Avant-saison (1er janvier - 20 juin)
320,2010 et après,2021,Saison (21 juin - 5 septembre)
2906,2010 et après,2014,Saison (21 juin - 5 septembre)
6013,2010 et après,2014,Saison (21 juin - 5 septembre)
6135,2010 et après,2018,Avant-saison (1er janvier - 20 juin)
6932,,,Après-saison (6 septembre - 31 décembre)
2897,,,Saison (21 juin - 5 septembre)
7122,2010 et après,,Après-saison (6 septembre - 31 décembre)
2775,De 2000 à 2009,2006,Après-saison (6 septembre - 31 décembre)
6161,,,Saison (21 juin - 5 septembre)
3899,2010 et après,2016,Après-saison (6 septembre - 31 décembre)
1264,De 2000 à 2009,2002,Après-saison (6 septembre - 31 décembre)
1912,De 2000 à 2009,,Avant-saison (1er janvier - 20 juin)
4961,De 1980 à 1989,1988,Saison (21 juin - 5 septembre)
6044,De 1990 à 1999,1993,Avant-saison (1er janvier - 20 juin)
2840,,,Saison (21 juin - 5 septembre)
4008,2010 et après,2019,Saison (21 juin - 5 septembre)
538,2010 et après,2021,Saison (21 juin - 5 septembre)
1883,,,Après-saison (6 septembre - 31 décembre)
140,2010 et après,2016,Saison (21 juin - 5 septembre)
3933,De 1980 à 1989,1985,Saison (21 juin - 5 septembre)
5419,De 1990 à 1999,1990,Saison (21 juin - 5 septembre)
4758,De 1980 à 1989,1988,Après-saison (6 septembre - 31 décembre)
5959,2010 et après,2011,Avant-saison (1er janvier - 20 juin)
6125,2010 et après,2010,Avant-saison (1er janvier - 20 juin)
276,Avant 1980,2003,Saison (21 juin - 5 septembre)
